Project Status,1st Review,2nd Review,Average Score,Initial Review Notes,Project #,Project Combined,Project Title,Need:,Idea:,Coordinates,Location?,Project Type,Dept.,Who Benefits?,Council District ,Neighborhood
"On Ballot, Not Funded",18,16,17,,17-006,,Trail improvements @ Roxhill Park,"Trail improvements at Roxhill Park - violence and danger in park, drug use, public intoxication ",Improve lighting and trim trees around trails .. Interpretive trail improvements ,"47.51775, -122.36925",Roxhill Park,Walkways,Parks,"neighbors, Westwood Village, and city of Seattle ",1,South Delridge
"On Ballot, Not Funded",20,20,20,,17-014,,"Improve 5-way intersection @ Dallas Ave S, 12th Ave S, and Thistle St","A traffic calming mechanism is much needed at a FIVE WAY intersection with no lights or stop signs at Dallas Ave S, 12th Ave S, and S Thistle St. There is a large business with over 100 employees & cars at this corner and it is a pedestrian pathway from the bus on 14th. There have been several near-miss incidents on this corner. ",Simple all-way stop signs; adding stop signs or yield signs. Perhaps even a roundabout. Adding crosswalks (with flashing lights) to multiple corners since it's an odd intersection. Adding a dedicated bike lane as well because a lot of cyclists go through here daily.,"47.519390, -122.315010","Dallas Ave S, 12th Ave S, S Thistle St",Crossing Improvements,SDOT,"The neighbors who live at this intersection (some feel they are in danger of having a car come through their window), the neighbors who use Dallas Ave as a thoroughfare to enter and exit South Park's waterfront, the business owner and employees of the company that is currently expanding at this intersection. Many of us have witnessed accidents and confusion here. ",1,South Park
Funded for 2018 Implementation,16,16,16,,17-019,,Busstop improvements on Barton St,"The ""Delridge Bus Triangle"" located at 9200 Delridge Way, is an SDOT managed property in the heart of the Westwood Highland Park Residential Urban Village. This public right of way is fraught with hiding places for intravenous drug use, drug dealing, prostitution and illegal dumping right along the heavy commuter driven Delridge Way corridor.  Delridge is unsafe to cross at this natural central location. This area has a high pedestrian inter-connectivity between pending Delridge H Rapid Ride line to the east, and the Westwood Village Transit mall at Roxbury Park to the west along Barton Street SW.","We have already created a ""Friends of the Delridge Bus Triangle"" committee, in partnership with SDOT. We held our first meeting on Jan 28th, 2017 to document the history, needs and collective vision of the space. That document can be found here: https://docs.google.com/document/d/1WbNyNKrp7B3TAM4S_uBV6g2NK3bN-wELv97QLfSB4ak/edit","47.520934, -122.358290","9200 Delridge Way SW, cross streets are Barton STREET SW to the north, and 18th Ave SW to the east. ",Other,SDOT,"Everyone living in along the South Delridge Corridor, with particular benefit to the marginalized, at-risk children that live in the densely populated area immediately east of this space. ",1,South Delridge
"On Ballot, Not Funded",15,18,16.5,,17-031,,Crossing Improvement along SW Henderson St,"Improve crossings along SW Henderson St at 12th, 13th, or 17th Ave SW","A clearly marked cross walk and parking restrictions near the curb would be a start to helping to increase visibility for cars as well as pedestrians.   Extending the curbs, however, would make a huge difference.   This would allow cars on Henderson to far more easily see pedestrians who are trying to cross on their way to and from school. ","47.522840, -122.351640",Henderson & 13th Ave SW 98106,Crossing Improvements,SDOT,Pedestrians and drivers alike.  The neighborhood benefits by an increase in safety and walkability.,1,Highland Park
Funded for 2018 Implementation,20,17,18.5,,17-044,,Improved crossings on S. Cloverdale ,"S Cloverdale St is a busy road and 12th Ave S was identified in South Park's Open Space plan as a secondary improved walking/bike route. We would like to increase the safety for pedestrians to cross Cloverdale at 8th, 10th, or 12th Ave S; Cars speed through a vital intersection in neighborhood. It's near a freeway entrance and it's an arterial but pedestrians must cross this particular street to access neighborhood offerings; Safer crossing on cloverdale in South park to the elementary school.","Crosswalks on S. Cloverdale at 8th Ave S, 10th Ave S. and/or 12th Ave S. for pedestrians to cross safely with a high vis sign alerting drivers to the possibility of pedestrians; Speed bumps, crosswalks, and wheelchair accessibility.  Sidewalks and planter strips ;Light up crosswalks. ","47.526450, -122.320230","S. Cloverdale at 10th Ave S and 12th Ave S. Skate Park, South Park Meadow Dallas and 12th Ave S, Cloverdale and 5th Ave s.",Crossing Improvements,SDOT,The entire neighborhood ,1,South Park
"On Ballot, Not Funded",14,18,16,,17-068,,Crossing improvements at 35th Ave & SW Dawson St,"Safer ped crossing @ 35th Ave SW to Camp Long, near SW Dawson St ","A crosswalk at the intersection of 35th Ave SW and SW Dawson Street (the entrance to Camp Long), including an island in the median.","47.555598, -122.376317",The intersection between 35th Ave SW and SW Dawson Street in West Seattle,Crossing Improvements,SDOT,"Children, community members and nature-lovers who use Camp Long and live in the surrounding area.",1,West Seattle
Funded for 2018 Implementation,17,17,17,,17-085,,Add sidewalks to S. Sylvan Way,To make the community safer.  It's a residential area and kids take the bus and some walk to school.  There is also a sharp curve and cars drive fast.  Its really unsafe.,Add sidewalks to S. Sylvan Way,"47.537744, -122.362418",S. Sylvan Way,,SDOT,People walking,1,High Point
"On Ballot, Not Funded",18,20,19,,17-235,,"Walkway improvements on 4th Ave S, between E. Marginal Way & Michigan","The sidewalk is missing on the part of 4th Ave S between East Marginal to 4th Ave S between Michigan. This area is where residents walk to access the food bank at St. Vicent de Paul on 4th Ave S. It is where students from SSCC walk to get lunch at a variety of restaurants. Employees from our local industrial community have also complained that accessing food in this area is dangerous. There are many cars that have been run off the road purely because you can't tell where the street or parking lot begins or ends. Street trees would also be needed to reduce noise and air pollution. When a sidewalk with street trees are in place, the walk for residents and employees to access food would become safe and beautiful.","We need drainage, sidewalks, curbs and street trees.This has been supported in the past by a grant that was given to the Georgetown community then taken away. I was told we needed drainage, so we got nothing instead.","47.545360, -122.329630",4th Ave S between East Marginal way and Michigan.,Walkways,SDOT,"Residents accessing the local food bank, employees accessing lunch and students accessing lunch would benefit from safe sidewalks and street trees. Drivers would benefit by having safe roads and businesses could actually provide safe parking.",2,Georgetown
Not Feasible,16,19,17.5,,17-145,,Install painted crosswalk at SW Alaska St. and 38th Ave SW,"The intersection of SW Alaska and 38th Ave SW is a very congested intersection for both vehicles and pedestrians that would benefit both by having a marked North-South crosswalk.    Transit  On the northwest corner of the intersection there is the C Line Rapid Ride stop. With the fairly recent addition of new apartments (Link, Spruce) and the current addition of more (Whittaker) as well as the proposed upzoning of the single family housing near this intersection the amount of commuter traffic that exits at this stop is heavy today and will continue to grow over time.      Safety  During peak travel times westbound vehicle traffic on SW Alaska backs up from the SW Alaska and Fauntleroy Way SW intersection back through the SW Alaska and 38th Ave SW intersection.  Vehicles often block the intersection which creates a safety issue for pedestrians trying to cross to the south side of the street.  Vehicles trying to pass through the intersection north-south on 38th Ave SW are also blocked and cause those sides of the intersection to back up as well.  It also creates a safety issue as there is a fire station on the southeast corner of the intersection.  Additionally, students that are in the walk zone to Fairmount Park Elementary also need to cross this intersection to get to school.",Create a market north-south crosswalk on the west side of the street.  SDOT should determine whether additional measures such as overhead signs or flashing beacons are also necessary,"47.561050, -122.380100",The intersection of SW Alaska and 38th Ave SW,Crossing Improvements,SDOT,"Pedestrians, Elementary school students, motoristsFire station",1,West Seattle
Not Feasible,0,19,9.5,,17-146 ,With 17-145,Improve crossing at Alaska Ave & 37th St,"It is dangerous to cross Alaska Ave at 37th.  Cars do not always see pedestrians.  Due to the proximity to the Y and other businesses in the Triangle, crossing at Fauntleroy or 35th is not as common as people crossing at 37th, and it can be risky.  ","A cross-walk with signage.  No light, just a crosswalk light up sign at most.  ","47.561060, -122.378790",37th Ave SW and Alaska,Crossing Improvements,SDOT,The community in the Fairmount Park area along with all the apartment dwellers that park in our neighborhood due to poor planning for parking at the aparments.  ,1,Fairmount Park
